description,starting,ending,ongoing_status
George Washington becomes President of the United States,1789-04-30,1797-03-03,George Washington is President
John Adams becomes President of the United States,1797-03-04,1801-03-03,John Adams is President
Thomas Jefferson becomes President of the United States,1801-03-04,1809-03-03,Thomas Jefferson is President
James Madison becomes President of the United States,1809-03-04,1817-03-03,James Madison is President
James Monroe becomes President of the United States,1817-03-04,1825-03-03,James Monroe is President
John Quincy Adams becomes President of the United States,1825-03-04,1829-03-03,John Quincy Adams is President
Andrew Jackson becomes President of the United States,1829-03-04,1837-03-03,Andrew Jackson is President
Martin VanBuren becomes President of the United States,1837-03-04,1841-03-03,Martin VanBuren is President
William Harrison becomes President of the United States,1841-03-04,1841-04-04,William Harrison is President
John Tyler becomes President of the United States,1841-04-04,1845-03-03,John Tyler is President
James Polk becomes President of the United States,1845-03-04,1849-03-03,James Polk is President
Zachary Taylor becomes President of the United States,1849-03-04,1850-07-09,Zachary Taylor is President
MillardFillmore becomes President of the United States,1850-07-09,1853-03-03,MillardFillmore is President
Franklin Pierce becomes President of the United States,1853-03-04,1857-03-03,Franklin Pierce is President
James Buchanan becomes President of the United States,1857-03-04,1861-03-03,James Buchanan is President
Abraham Lincoln becomes President of the United States,1861-03-04,1865-04-15,Abraham Lincoln is President
Andrew Johnson becomes President of the United States,1865-04-15,1869-03-03,Andrew Johnson is President
Ulysses Grant becomes President of the United States,1869-03-04,1877-03-03,Ulysses Grant is President
Rutherford Hayes becomes President of the United States,1877-03-04,1881-03-03,Rutherford Hayes is President
James Garfield becomes President of the United States,1881-03-04,1881-09-19,James Garfield is President
ChesterArthur becomes President of the United States,1881-09-19,1885-03-03,ChesterArthur is President
Grover Cleveland becomes President of the United States,1885-03-04,1889-03-03,Grover Cleveland is President
Benjamin Harrison becomes President of the United States,1889-03-04,1893-03-03,Benjamin Harrison is President
Grover Cleveland becomes President of the United States,1893-03-04,1897-03-03,Grover Cleveland is President
William McKinley becomes President of the United States,1897-03-04,1901-09-14,William McKinley is President
Theodore Roosevelt becomes President of the United States,1901-09-14,1909-03-03,Theodore Roosevelt is President
William Taft becomes President of the United States,1909-03-04,1913-03-03,William Taft is President
Woodrow Wilson becomes President of the United States,1913-03-04,1921-03-03,Woodrow Wilson is President
Warren Harding becomes President of the United States,1921-03-04,1923-08-02,Warren Harding is President
Calvin Coolidge becomes President of the United States,1923-08-02,1929-03-03,Calvin Coolidge is President
Herbert Hoover becomes President of the United States,1929-03-04,1933-03-03,Herbert Hoover is President
Franklin Roosevelt becomes President of the United States,1933-03-04,1945-04-12,Franklin Roosevelt is President
Harry Truman becomes President of the United States,1945-04-12,1953-01-20,Harry Truman is President
Dwight Eisenhower becomes President of the United States,1953-01-20,1961-01-20,Dwight Eisenhower is President
John Kennedy becomes President of the United States,1961-01-20,1963-11-22,John Kennedy is President
Lyndon Johnson becomes President of the United States,1963-11-22,1969-01-20,Lyndon Johnson is President
Richard Nixon becomes President of the United States,1969-01-20,1969-08-08,Lyndon Johnson is President
Gerald Ford becomes President of the United States,1974-08-09,1977-01-20,Gerald Ford is President
Jimmy Carter becomes President of the United States,1977-01-20,1981-01-20,Jimmy Carter is President
Ronald Reagan becomes President of the United States,1981-01-20,1989-01-20,Ronald Reagan is President
George H.W. Bush becomes President of the United States,1989-01-20,1993-01-20,George H.W. Bush is President
Bill Clinton becomes President of the United States,1993-01-20,2001-01-20,Bill Clinton is President
George W. Bush becomes President of the United States,2001-01-20,2009-01-19,George W. Bush is President
Barack Obama becomes President of the United States,2009-01-20,2017-01-19,Barack Obama is President